Item,Enc,Price,Rarity,"Description, Special",Book
B1 Series Battle Droid,--,"6,500",5,The frontline battle droid of the Separatist armies during the Clone Wars,E
Assassin Droid,--,"R 65,000",8,Deadly hunters that pursue relentlessly,E
IG-100 MagnaGuard,--,"R 90,000",10,Master bodyguards and combatants during the Clone Wars,F
TC-SC Infiltration Droid,--,"R 15,600",8,"Designed for espionage, infiltration, and assassination",EV
Chamleon Droid,--,R,8,Designed for infiltration and espionage during the Clone Wars,NP
GV/3-Series Guardian,--,"8,000",7,quadrapedal kanid form; acts as a guard and pet,KP
Generic Remote,1--2,400,2,Designed to perform simple preprogrammed tasks and follow basic commands,SM
Butterbug Remote,1,700,4,Designed to transmit information,SM
Service Patch Remote,1--2,900,3,Programmed for a variety of mechanical and comuter-related tasks,SM
Shield Remote,2,"1,100",5,Programmed and designed to place itself between the user and attacks,SM
Marksman-H Combat Remote,1,350,5,Programmed as a training tool,KP
RMD-20 Camera Remote,1,500,4,Designed for recording footage on the move,KP
Recon Remote,1,250,1,"Small, repulsorlifted unit that transmits visual data up to 20km away",DC
Microdroid Listener,0,"R 1,500",6,Records audio then returns to owner when conditions are met,EV
Biome Generator,45,"9,000",4,Creates specialty environments within ships or other enclosed spaces,FH
Atmospheric Processor,10k,"4,500,000",7,Massive terraforming installation,FH
Atmospheric Reactive Damper,300,"200,000",5,Carbon dioxide scrubber,FH
Diplomatic Authority,--,"R 10,000",8,Official documents that grant official persons access and permissions,DA
1.4 FD P-Tower Light AV Battery,,"4,000",2,Immobile anti-vehicle laser cannon battery,LE
DF.11 Anti-Infantry Battery,,"7,500",5,Immobile anti-infantry laser cannon battery,LE
Planetary Shield Generator,,"460,000",4,Provides 8 points of ranged defense dividable into four quadrants,LE
Modular Base Structures,,varies,2-3,Various pre-constructed buildings,LE
Dendriton Toxin,0,R 125,7,Painful paralytic; Daunting Resilience check to resist,LNH
Dioxis Gas,0,R 100,6,Lethal gas; Hard or Daunting Resilience to resist,LNH
Neuroparaalytic,0,R 75,6,Paralytic; Hard Resilience to resist,Core
Neurotoxin,0,R 50,6,Lethal poison; Average or Hard Resilience to resist,Core
Raquor Venom,0,R 150,7,Paralytic; Daunting Resilience to resist,LNH
Avabush Spice,0,R 25,6,May only upgrade one Ability Die to a Proficiency Die in any given check; the difficulty to lie or conceal the truth is upgraded once,E
"Avabush Spice, x100",3,"R 2,000",7,May only upgrade one Ability Die to a Proficiency Die in any given check; the difficulty to lie or conceal the truth is upgraded once,E
Booster Blue,0,R 10,5,"May upgrade any Agility, Intellect, or Cunning check once; Strain is not auto. recovered at the end of encounters for the rest of the session",E
"Booster Blue, x100",3,R 750,6,"May upgrade any Agility, Intellect, or Cunning check once; Strain is not auto. recovered at the end of encounters fo rthe rest of the session",E
Death Stick,0,R 5,1,■ to every task and check; possibly diminishes connection to the Force,E
"Death Stick, x100",3,R 250,2,■ to every task and check; possibly diminishes connection to the Force,E
Glitterstim,0,R 100,7,"□□□ to Perception, Vigilance checks; possible telepathy",E
"Glitterstim, x100",5,"R 5,000",8,"□□□ to Perception, Vigilance checks; possible telepathy",E
Gunjack Spice,1,R 75,5,"+1 Brawn per dose; +1 difficulty for Agility, Intellect, Cunning checks",LNH
"Gunjack Spice, x100",25,"R 7,000",6,"+1 Brawn per dose; +1 difficulty for Agility, Intellect, Cunning checks",LNH
Impact,0,R 125,6,"Upgrade Agility-based checks; ■ Agility-, Cunning-, Intellect-based checks",FC
"Impact, x100",5,"R 10,000",7,"Upgrade Agility-based checks; ■ Agility-, Cunning-, Intellect-based checks",FC
Ji Rikknit,0,R 50,6,Mild euphoric; Easy Resilience to avoid addiction,SF
"Ji Rikknit, x100",5,"R 3,000",7,Mild euphoric; Easy Resilience to avoid addiction,SF
Karrak Spice,0,R 80,7,"Remove ■■■ added for pain or illness for 12 hours, add one Threat; Force usersbenefit for 24 hours, Force rating counts as one lower",EV
"Karrak Spice, x100",5,"R 6,400",8,"Remove ■■■ added for pain or illness for 12 hours, add one Threat; Force users benefit for 24 hours, Force rating counts as one lower",EV
Lesai,0,R 500,9,Removes need to sleep; Strain heals normally,E
"Lesai, x20",2,"R 7,500",10,Removes need to sleep; Strain heals normally,E
Longsight,0,R 650,8,+1 Willpower for Encounter; suffer 2 Strain each turn,NP
Longsight x100,5,"R 5,000",9,+1 Willpower for Encounter; suffer 2 Strain each turn,gm rdl
Muon Gold,0,R 50,6,"□ Cunning-, Presence-based checks; possible ■ Intellect-, Cunning-based",FC
"Muon Gold, x100",3,"R 4,500",6,"□ Cunning-, Presence-based checks; possible ■ Intellect-, Cunning-based",FC
Nannarium Root,0,R 200,6,"Upgrade Intellect-, Cunning-based check once; 2 Strain",SF
Neutron Pixie,1,R 100,6," +2 Advantages to Agility-, Willpower-based checks; +1 Threat to Brawn-, Intellect-, Cunning-based checks ",LNH
"Neutron Pixie, x100",25,"R 8,500",7," +2 Advantages to Agility-, Willpower-based checks; +1 Threat to Brawn-, Intellect-, Cunning-based checks",LNH
Questioner-9,0,R 300,6,Upgrade difficulty on checks to withold information or resist manipulation,EV
"Questioner-9, x100",5,"R 24,000",7,Upgrade difficulty on checks to withold information or resist manipulation,EV
Ryll Spice,1,R 50,4,"Temporarily ignore an Easy, Average, or Hard (2 doses) Crit Injury",LNH
"Ryll Spice, x100",25,"R 4,500",5,"Temporarily ignore an Easy, Average, or Hard (2 doses) Crit Injury",LNH
Yaladai Spice,0,"R 1,000",7,"Suffer 3 less Strain than normal; Force users add +1 Force die to checks, suffer double Strain and Conflict for using Dark Side pips",EV
"Yaladai Spice, x100",5,"R 80,000",8,"Suffer 3 less Strain than normal; Force users add +1 Force die to checks, suffer double Strain and Conflict for using Dark Side pips",EV
Yarrock,0,R 350,8,"Automatically succeed at Fear checks; ■ to Willpower, Presence checks",E
"Yarrock, x100",3,"R 20,000",9,"Automatically succeed at Fear checks; ■ to Willpower, Presence checks",E
Frangawl Force Powder,0,"R 2,000",10,Force-Sensitives consuming one dose earns 10 Conflict; adds two Dark Side pips,NP to the next Force power check made
